Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
" Associação de Bifidobacterium longum subsp. longum BB536,Bifidobacterium longum subsp. infantis M-63 e Bifidobacterium breve M-16V",,"Para este constituinte foram aprovadas as especificações do fabricante: Morinaga Milk Industry CO., LTD","Fonte de Bifidobacterium longum subsp. longum BB536,
Bifidobacterium longum subsp. infantis M-63 e Bifidobacterium breve M-16V""","1)  A associação Bifidobacterium longum subsp. longum BB536 , Bifidobacterium longum subsp. infantis M-63 e Bifidobacterium breve M16V pode contribuir com a saúde do trato gastrointestinal.
Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bifidobacterium longum subsp. longum BB536 , Bifidobacterium longum subsp. infantis M-63 e Bifidobacterium breve M16V atenda aos valores mínimos estabelecidos no Anexo III da IN 28/2018.","A advertência ""Este produto não deve ser consumido por crianças abaixo de 4 anos, adultos, gestantes, lactantes, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave"" deve constar na rotulagem do produto",
 Extrato Aquoso do Cogumelo de Shiitake (Lentinula edodes),,Para este constituinte foram aprovadas as especificações do fabricante: Amino UP Chemical Company - Japão,Fonte de α-glucana,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,"A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
 LACTOBACILLUS PLANTARUM DR7,,"Para este constituinte foram aprovadas as especificações do fabricante: Lactosan GmbH & Co. KG. Kapfenberg, Austria.",Fonte de Lactobacillus plantarum DR7,1) Alegação: O Lactobacillus plantarum DR 7 pode auxiliar na redução de sensações de estresse e ansiedade em adultos saudáveis.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e
crianças.” deve constar na rotulagem do produto.",Aprovado pela Resolução RE Nº  1002 de 31/03/2022 - Autorizado apenas para os peticionantes até a inclusão na IN 28/2018 e suas atualizações.
 Óleo de amêndoa de baru,,Para este constituinte foram aprovadas as especificações do fabricante: Soul Indústria e Comércio Ltda. Palmelo – GO., Fonte de lipídeos,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,,
2'-Fucosil-lactose obtido por fermentação microbiana com Escherichia coli K12 (DH1) MAP1001d,,Para este constituinte foram aprovadas as especificações do fabricante:  Glycom,Fonte de fibras alimentares,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,"As advertências ""Este produto não deve ser consumido por crianças abaixo de 4 anos."" e ""Os suplementos não devem ser utilizados se forem consumidos no mesmo dia outros alimentos com adição de 2-fucosillactose."" devem constar na rotulagem do produto.",
2'-Fucosil-lactose obtido por fermentação microbiana com Escherichia coli K12 (DH1) SCR6,,Para este constituinte foram aprovadas as especificações do fabricante:  Glycom,Fonte de fibras alimentares,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,"As advertências ""Este produto não deve ser consumido por crianças abaixo de 4 anos."" e ""Os suplementos não devem ser utilizados se forem consumidos no mesmo dia outros alimentos com adição de 2-fucosillactose."" devem constar na rotulagem do produto.",
Acerola em pó,,Para este constituinte foram aprovadas as especificações do fabricante: ADM do Brasil Ltda,Fonte de vitamina C,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,,
Acerola em pó,,"Para este constituinte foram aprovadas as especificações dos fabricantes: 1) DIANA NATURALS CHICLE SPA (Diana Food). Buin, Chile. 2)  Duas Rodas Industrial Ltda. Jaraguá do Sul, Santa Catarina.",Fonte de vitamina C,"1) Alegação: A vitamina C auxilia na absorção de ferro dos alimentos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: A vitamina C é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina C auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina C auxilia na formação do colágeno. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina C auxilia na regeneração da forma reduzida da vitamina E. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: A vitamina C auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: A vitamina C auxilia no metabolismo de proteínas e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de vitamina C. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina C. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina C corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",,
Acetato de cálcio,62-54-4,"The EFSA Journal (2009) 1088, 1-25

FCC 

17th JECFA (1973), FNP 4 (1978), FNP 52 (1992), FAO JECFA MONOGRAPHS 1 (2006)

EUROPEAN PHARMACOPOEIA 9.0",Fonte de Cálcio,"1) Alegação: O cálcio auxilia na formação e manutenção de ossos e dentes. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cálcio auxilia na coagulação do sangue. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cálcio auxilia no funcionamento muscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cálcio auxilia no funcionamento neuromuscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cálcio auxilia no processo de divisão celular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O cálcio auxilia no metabolismo energético. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cálcio. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Realagação: Alto conteúdo/Rico em/Alto teor de cálcio. Requisitos:
A alegação é restrita aos suplementos alimentares cuja quantidade de cálcio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido.",Não há requisitos adicionais,
Acetato de dextroalfatocoferol/Acetato de D-alfa-tocoferol,58-95-7,"FCC 

EFSA Journal 2016;14(3):4412",Fonte de Vitamina E,"1) Alegação: A vitamina E é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de vitamina E. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina E. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
